Name,x (pix),y (pix),x (m),y(m),"type (H,O,I)",neighbors,,
SWLounge,368,300,-55.104,13.776,H,SWInter,,
SWInter,591,300,-47.7896,13.776,H,SWLounge,SHallW,WHall1
WHall1,913,300,-37.228,13.776,H,SWInter,WHall2,
WHall2,1158,300,-29.192,13.776,H,WHall1,WHall3,
WHall3,1430,300,-20.2704,13.776,H,WHall2,WHall4,
WHall4,1686,300,-11.8736,13.776,H,WHall3,WHall5,
WHall5,1942,300,-3.4768,13.776,H,WHall4,WHall6,
WHall6,2142,300,3.0832,13.776,H,WHall5,WInter,
WInter,2280,300,7.6096,13.776,H,WHall6,VendDoor,ShortHall
VendDoor,2460,294,13.5136,13.9728,H,WInter,NWDoor,
NWDoor,2797,294,24.5672,13.9728,H,VendDoor,AtriumSW,AtriumS1
AtriumSW,2878,294,27.224,13.9728,H,AtriumS1,NWDoor,AtriumW
AtriumS1,2868,400,26.896,10.496,H,NWDoor,AtriumSW,AtriumS2
AtriumW,3044,294,32.6688,13.9728,H,AtriumSW,AtriumNW,
AtriumNW,3238,294,39.032,13.9728,H,AtriumW,CouchesW,
CouchesW,3269,433,40.0488,9.4136,H,AtriumNW,CouchesE,
CouchesE,3269,580,40.0488,4.592,H,CouchesW,AtriumN,
AtriumN,3247,716,39.3272,0.1312,H,CouchesE,AtriumNE,
AtriumNE,3247,940,39.3272,-7.216,H,AtriumN,,
AtriumS2,2891,550,27.6504,5.576,H,AtriumS1,AtriumS3,
AtriumS3,2891,735,27.6504,-0.492,H,AtriumS2,AtriumS4,
AtriumS4,2871,908,26.9944,-6.1664,H,AtriumS3,AtriumSE,
AtriumSE,2736,985,22.5664,-8.692,H,AtriumS4,NEDoor,
NEDoor,2831,985,25.6824,-8.692,H,AtriumSE,NEHall,
NEHall,2500,985,14.8256,-8.692,H,NEDoor,EInter,
EInter,2280,985,7.6096,-8.692,H,ShortHall,NEHall,EHall6
ShortHall,2280,640,7.6096,2.624,H,WInter,EInter,
EHall6,2142,985,3.0832,-8.692,H,EInter,EHall5,
EHall5,1942,985,-3.4768,-8.692,H,EHall6,EHall4,
EHall4,1686,985,-11.8736,-8.692,H,EHall5,EHall3,
EHall3,1430,985,-20.2704,-8.692,H,EHall4,EHall2,
EHall2,1158,985,-29.192,-8.692,H,EHall3,EHall1,
EHall1,913,985,-37.228,-8.692,H,EHall2,SEInter,
SEInter,591,985,-47.7896,-8.692,H,EHall1,SHallE,SEStairs
SEStairs,421,985,-53.3656,-8.692,H,SEInter,SELounge,
SELounge,361,1045,-55.3336,-10.66,H,SEStairs,,
SHallW,591,538,-47.7896,5.9696,H,SWInter,SHallE,
SHallE,591,762,-47.7896,-1.3776,H,SEInter,SHallW,
